detector,base_trial,incident_start,incident_end,cad_win,event_success,category
coh_resid_t2,44,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
coh_resid_t2,45,2023-04-01,2023-09-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,46,2022-08-01,2023-01-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,47,2023-03-01,2023-08-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,48,2021-04-01,2021-09-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,49,2023-01-01,2023-06-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_t2,50,2023-10-01,2024-03-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_t2,51,2021-11-01,2022-04-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,52,2022-04-01,2022-09-01,0.6666666666666666,1,changed_with_warning_overlap
coh_resid_t2,53,2024-11-01,2025-04-01,0.0,1,no_alert_stream_change
coh_resid_t2,54,2023-12-01,2024-05-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,55,2024-10-01,2025-03-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_t2,56,2021-11-01,2022-04-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,57,2023-05-01,2023-10-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,58,2024-09-01,2025-02-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_t2,59,2023-03-01,2023-08-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,60,2024-02-01,2024-07-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,61,2023-05-01,2023-10-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,62,2023-06-01,2023-11-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,63,2021-11-01,2022-04-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,64,2024-04-01,2024-09-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,65,2020-08-01,2021-01-01,0.16666666666666666,1,changed_with_warning_overlap
coh_resid_t2,66,2022-11-01,2023-04-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,67,2023-07-01,2023-12-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,68,2024-02-01,2024-07-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,69,2022-07-01,2022-12-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,70,2021-11-01,2022-04-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,71,2021-07-01,2021-12-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,72,2022-01-01,2022-06-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,73,2022-05-01,2022-10-01,1.0,1,changed_with_warning_overlap
coh_resid_t2,74,2023-07-01,2023-12-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,75,2024-05-01,2024-10-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,76,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
coh_resid_t2,77,2024-08-01,2025-01-01,0.5,1,changed_with_warning_overlap
coh_resid_t2,78,2022-08-01,2023-01-01,0.3333333333333333,1,changed_with_warning_overlap
coh_resid_t2,79,2021-10-01,2022-03-01,1.0,1,changed_with_warning_overlap
cusum_coh_resid_t2,0,2024-03-01,2024-08-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,1,2023-02-01,2023-07-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,2,2022-07-01,2022-12-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,3,2021-04-01,2021-09-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,4,2021-07-01,2021-12-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,5,2020-03-01,2020-08-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,6,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,7,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,8,2020-11-01,2021-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,9,2023-12-01,2024-05-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,10,2023-03-01,2023-08-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,11,2024-06-01,2024-11-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,12,2022-06-01,2022-11-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,13,2022-12-01,2023-05-01,0.3333333333333333,1,changed_with_warning_overlap
cusum_coh_resid_t2,14,2024-10-01,2025-03-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,15,2023-08-01,2024-01-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,16,2023-02-01,2023-07-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,17,2022-09-01,2023-02-01,0.3333333333333333,1,changed_with_warning_overlap
cusum_coh_resid_t2,18,2022-10-01,2023-03-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,19,2024-08-01,2025-01-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,20,2021-05-01,2021-10-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,21,2024-01-01,2024-06-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,22,2023-04-01,2023-09-01,1.0,1,changed_with_warning_overlap
cusum_coh_resid_t2,23,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,24,2021-12-01,2022-05-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,25,2024-03-01,2024-08-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,26,2022-09-01,2023-02-01,0.3333333333333333,1,changed_with_warning_overlap
cusum_coh_resid_t2,27,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,28,2023-10-01,2024-03-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,29,2023-08-01,2024-01-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,30,2024-02-01,2024-07-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,31,2020-11-01,2021-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,32,2020-06-01,2020-11-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,33,2024-03-01,2024-08-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,34,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,35,2022-08-01,2023-01-01,0.16666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,36,2020-05-01,2020-10-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,37,2021-06-01,2021-11-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,38,2022-05-01,2022-10-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,39,2022-01-01,2022-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,40,2021-12-01,2022-05-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,41,2020-02-01,2020-07-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,42,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,43,2020-08-01,2021-01-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,44,2020-01-01,2020-06-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,45,2023-04-01,2023-09-01,1.0,1,changed_with_warning_overlap
cusum_coh_resid_t2,46,2022-08-01,2023-01-01,0.16666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,47,2023-03-01,2023-08-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,48,2021-04-01,2021-09-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,49,2023-01-01,2023-06-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,50,2023-10-01,2024-03-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,51,2021-11-01,2022-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,52,2022-04-01,2022-09-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,53,2024-11-01,2025-04-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,54,2023-12-01,2024-05-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,55,2024-10-01,2025-03-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,56,2021-11-01,2022-04-01,0.0,1,no_alert_stream_change
cusum_coh_resid_t2,57,2023-05-01,2023-10-01,1.0,1,changed_with_warning_overlap
cusum_coh_resid_t2,58,2024-09-01,2025-02-01,0.6666666666666666,1,changed_with_warning_overlap
cusum_coh_resid_t2,59,2023-03-01,2023-08-01,0.8333333333333334,1,changed_with_warning_overlap
cusum_coh_resid_t2,60,2024-02-01,2024-07-01,0.5,1,changed_with_warning_overlap
cusum_coh_resid_t2,61,2023-05-01,2023-10-01,1.0,1,changed_with_warning_overlap
