panel,detector,budget,duration_months,tiw_eval,p_overlap_warning_uniform,tiw_in_window_uniform,p_overlap_indep,p_overlap_minus_indep,cad_win_zero,dtiw_win_zero,dfae_win_zero
full,fused_sp_lrt_delta,1.25,6,0.453125,0.9661016949152542,0.45762711864406785,0.9732497144577792,-0.007148019542524975,0.0,0.0,0.0
full,fused_fisher_lrt_delta,1.25,6,0.453125,0.9322033898305084,0.4435028248587571,0.9732497144577792,-0.04104632462727076,0.0,0.0,0.0
full,ewma_factor_cov_lrt,1.25,6,0.09375,0.1864406779661017,0.1016949152542373,0.44602761324495077,-0.2595869352788491,0.0,0.0,0.0
full,cusum_factor_cov_lrt,1.25,6,0.375,0.7966101694915254,0.403954802259887,0.9403953552246094,-0.14378518573308396,0.0,0.0,0.0
full,max_abs,1.5,6,0.515625,0.9322033898305084,0.536723163841808,0.9870851216692245,-0.05488173183871603,0.0,0.0,0.0
full,T2,1.5,6,0.453125,0.8305084745762712,0.45762711864406785,0.9732497144577792,-0.142741239881508,0.0,0.0,0.0
full,res_energy,1.5,6,0.40625,0.864406779661017,0.4011299435028249,0.9561851089820266,-0.0917783293210096,0.0,0.0,0.0
full,pc_t2,1.5,6,0.4375,0.8813559322033898,0.4406779661016949,0.9683236479759216,-0.08696771577253182,0.0,0.0,0.0
full,stale,1.5,6,0.140625,0.3050847457627119,0.15254237288135594,0.5971936641581124,-0.2921089183954005,0.0,0.0,0.0
full,factor_cov_change,1.5,6,0.578125,0.9830508474576272,0.6073446327683616,0.9943622898863396,-0.011311442428712404,0.0,0.0,0.0
full,factor_cov_delta,1.5,6,0.5,0.9322033898305084,0.516949152542373,0.984375,-0.05217161016949157,0.0,0.0,0.0
